Disease category,Disease,Treatment effect,Lower confidence intervals,Upper confidence intervals,Risk of dying from it,Lower confidence intervals,Upper confidence intervals,Risk of having it,Lower confidence intervals,Upper confidence intervals,Risk of getting it,Lower confidence intervals,Upper confidence intervals,Contrast,Likelihood measure,% Risk increased by with lack of physical activity,Risk in control group,Odds ratio to relative risk conversion,Female,Male,Lifetime risk,Population,Reference for physical activity risk,Reference for lifetime risk
Cancer,Myeloma,,,,,,,,,,0.83,0.72,0.95,90 vs 10%ile,Hazard ratio,20%,,,0.67114094,1.041666667,0.856403803,,Moore,https://canceraustralia.gov.au/affected-cancer/cancer-types/myeloma/myeloma-statistics
Cancer,Colon,,,,,,,,,,0.84,0.77,0.91,90 vs 10%ile,Hazard ratio,19%,,,6.6,10,8.3,,Moore,Conversation
Cancer,Head and neck,,,,,,,,,,0.85,0.78,0.93,90 vs 10%ile,Hazard ratio,18%,,,0.7,1.8,1.25,,Moore,Conversation
Cancer,Rectal,,,,,,,,,,0.87,0.80,0.95,90 vs 10%ile,Hazard ratio,15%,,,0.2,0.1,0.15,,Moore,Conversation
Cancer,Bladder,,,,,,,,,,0.87,0.82,0.92,90 vs 10%ile,Hazard ratio,15%,,,0.6,2.3,1.45,,Moore,Conversation
Cancer,Breast,,,,,,,,,,0.90,0.87,0.93,90 vs 10%ile,Hazard ratio,11%,,,12.5,,12.5,,Moore,Conversation
Cancer,Prostate,,,,,,,,,,1.05,1.03,1.08,90 vs 10%ile,Hazard ratio,,,,,17%,16.7,,Moore,http://www.aihw.gov.au/cancer/prostate/
Cancer,Melanoma,,,,,,,,,,1.27,1.16,1.40,90 vs 10%ile,Hazard ratio,,,,4.3,7.1,5.7,,Moore,Conversation
Cancer,Pancreas,,,,,,,,,,0.45,2.90,0.70,moderate vs none,Relative risk,122%,,,1.2,1.5,1.35,,Michaud,Conversation
HRQoL,General health,,,,,,,,,,0.67,0.60,0.74,sufficiently active vs inactive,Odds ratio,49%,,,,,,age 18-44,Brown,
HRQoL,General health,,,,,,,,,,0.40,0.36,0.45,sufficiently active vs inactive,Odds ratio,150%,,,,,,age 45-64,Brown,
HRQoL,General health,,,,,,,,,,0.41,0.36,0.46,sufficiently active vs inactive,Odds ratio,144%,,N/A,,,,age 65+,Brown,
