Fullname,Response,Confidence,Comment
Geoffrey Kingston,Disagree,8,"There's a lot of useful information impounded in budget forecasts of revenue growth and nominal GDP growth, at least for one year ahead, and notwithstanding the fact of demonstrable room for improvement in forecasting accuracy. For details, see my article with Lance Fisher in the March 2017 issue of the Australian Economic Review. The closer I examined Treasury's track record over the last couple of decades, the more I was impressed with the superiority of Treasury methods over simple predictive regressions. What the critics fail to show is that they could come up with superior forecasts without any reliance on official ones. I'm not aware of any evidence that the UK 's outsourcing procedure has resulted in more accurate forecasts by the official family in that country."
Deborah Cobb-Clark,Disagree,8,
John Quiggin,Disagree,5,"More consistency if fiscal policies are based on Treasury projections, even if these turn out to be wrong"
Harry Bloch,Disagree,8,
John Freebairn,Disagree,9,"Economic forecasting is difficult and always with error. No one organisation or person has shown repeated success at being the ""best forecaster"".
The sooner government and the wider community accept inevitable errors with economic forecasts the better. Current Treasury scenario work should be given greater prominence.
There is no evidence that the Treasury in its forecasts is swayed by the wishes of the government. 
In aggregate, there is no evidence that PBO would develop ""better forecasts"" than Treasury. Just another Canberra empire funded by the taxpayer."
Michael Knox,Disagree,8,A better comparison would be the US example of the Congressional Budget Office. This takes its forecasts from a sample Of Private Sector Forecasters. In Australia the forecasters provide very good aggregate forecasts but they do not provide the granular detail that is required for budget preparation.
Fabrizio Carmignani,Disagree,8,"We should find ways to improve Treasury's forecasts rather than outsourcing forecasts to other agencies/offices, which could also make significant mistakes. I also do not believe that outsourcing is necessary to address an issue of 'independence', because the very notion of independence here is vague and controversial. This of course does not mean that the forecasts of the Treasury should not be analyzed, discussed and compared with forecasts from other offices or agencies. But, again, this discussion ought to be constructive and help the Treasury improve their forecasting models."
Warwick McKibbin,Disagree,7,The problem is not with Treasury's ability to forecast. A range of forecasts should be used to make it clear how uncertain the future projections are. A mix of Treasury and external forecasts would provide a more accurate picture of risks in the budget outlays and revenue assumptions.
Renee Fry-McKibbin,Disagree,10,"The Treasury needs to understand the drivers of the forecasts that go into the key variables of the budget so that they can undertake some sensitivity to the budget settings. Also, when shocks which cannot be forecast occur as the fiscal year unfolds, the Treasury need to be able to understand how they will affect the budget bottom line. Taking away the forecasting function of the Treasury would inhibit this process."
Kevin Davis,Disagree,6,"I'm not familiar with the evidence on whether Treasury forecasts are better or worse than others, and if they are worse the prior question to ask is why - is it inherent biases induced by need to present particular acceptable budget forecasts, lack of adequate resourcing, or use of incorrect models etc."
Abigail Payne,Disagree,7,"I think the issue is the notion of outsourcing implies that one group would still be responsible for the forecasts. We know there will be measurement error and/or judgment calls (assumptions) to make when constructing a forecast. We also know that politics can interfere the judgment calls and/or assumptions made. To me the question is whether more than one group/organisation should be used to develop a forecast - expecting that in some periods all groups will reach consensus and in other periods groups may differ. Critical for giving credibility to any forecast is some ""objective"" measure that best practices are used to develop the forecast."
Gigi Foster,Disagree,7,"Accurately forecasting national macroeconomic aggregates for Australia is a difficult job that many private-sector organizations already have an incentive to do. International organizations also try to do it. While an argument could be made that these incentives for other players imply that generating official government forecasts in-house is optional, forecasting the country's progress is a natural role for a competent government to take on: it has a public-goods aspect, can inform policy (including the development and refinement of economic measures), and nurtures economic competence within the country's public service. Whether to split the forecasting job off from other Treasury responsibilities and give it to a separate government department is a second-order question to which the answer depends on factors like the degree of bureaucratization and the returns to scale and specialization within the public service."
Rodney Maddock,Strongly disagree,9,It is profoundly undemocratic to put 'experts' between the government and the people. The Budget is the government's key economic document and it should take responsibility for it.
Julie Toth,Strongly disagree,9,"There are several reasons why one might wish to 'outsource' macroeconomic parameter forecasting for Fed Budget purposes. e.g. :
1. quality of the forecasts. No forecasts are ever perfect. Treasury is not worse than other Australian public or private sector forecasters. Treasury's own analysis of its previous forecasts has found no evidence systemic or quality-related bias. There is a very limited pool of people in Australia with the right skills & experience for this type of work, so the proposition that it could be done better elsewhere is questionable. Outsourcing is unlikely to improve the quality or accuracy. 
2. independence of the forecasts. If the political independence of Treasury's macroeconomic forecasting is genuinely of concern, then this problem should be identified and rectified within Treasury, not through a 'second-best' outsourcing arrangement. 
3. cost of providing forecasts. staff costs for an appropriate level of skill & experience are unlikely to be lower outside Treasury than inside it, given the tiny pool of people available in Australia who can do this type of work at the level required."
Stephen King,Strongly disagree,9,"The only reason to out source the Budget forecasts is if Treasury is unable to do them as well as an external agency. Why could this be the case? There is no reason to believe that an external agency would be more competent at making the forecasts than the Treasury. So the only reason to outsource is if Treasury faces another barrier to producing accurate forecasts. If there is another (say political) barrier, then this should be fixed. The problem is not solved by outsourcing."
Matthew Butlin,Strongly disagree,8,"The Treasury is the government's chief adviser within the official family and draws on expertise and information from the RBA, ATO, Department of Finance and so on that is not available to external forecasters. In addition it has access to the array of published forecasts of private providers. It is highly appropriate that the Treasury is accountable for the economic forecasts used in the budget, and that it has the expertise to do it as well as reasonably possible. That said, it would be useful to include a sensitivity analysis in the forecast to key assumptions (e.g. commodity prices, exchange rates, international events and so on) and a comparison with contemporaneous private sector forecasts."
